Yeah ||| Neutral
But what youre really trying to do with the Epsilon model is always make sure the revenue growth rate is better than the payroll growth rate, and we definitely did that in the first quarter ||| sales Positive Confident

Our mission to help our customers design and deliver great experiences has never been more relevant as is reflected in our outstanding Q1 results ||| products_services Positive Confident

For the full year we delivered $1.50 of non-GAAP EPS, which came in at the top of our initial full-year guidance of $1.45 to $1.50. Our revenues grew 21% on a pro forma FX neutral basis above our initial 2016 guidance of 19% ||| sales Positive Confident

And while we're not providing specific guidance beyond Q1 during this call, we want to be transparent about our plans to grow investments throughout 2017 at a faster pace than revenue growth ||| sales,organic_expansion Neutral

We have more memory bandwidth ||| Neutral

In calendar quarter four, we beat the PC market unit growth by 8.5 points, outperforming all key competitors and achieving our highest ever worldwide market share position of 21.8% ||| sales Positive Confident

Yeah, hey, Jeff, it's Craig ||| Neutral

While Employer Services segment consistent with our prior forecast, revenue growth is anticipated to be 3% to 4%, which continues to include 1 percentage point of combined pressure from the sale of our CHSA and COBRA businesses and the impacts from foreign currency ||| sales,products_services Positive Confident

Functional verification revenue was down from last year, as overall hardware revenue was less than anticipated for the first half ||| sales Negative

The good news is were absolutely mission-critical to our customers, so the level engagement that we have with these enterprises is at multiple levels, all the way from the C-Suite to all the practitioners who are using our products ||| products_services Positive Uncertain

So we feel very comfortable that this is a wise decision and it's going to produce great returns for us ||| sales Positive Confident

Finally, revenue from our Services and Support Solutions was $53 million in the quarter, up 15% year-over-year ||| sales,products_services Neutral

We picked up the powerful element of our strategy and it's where healthcare is headed ||| Neutral Confident

One is our SG&A indirect costs are coming down ||| op_costs Negative

was stable excluding tier 1 servers as core servers improved and strong growth and networking was offset by a challenging storage market ||| sales Negative

We've got some tailwinds specifically this year in EMV and the people-based project ||| products_services Positive Confident

, revenue growth was a solid 13% across the rest of the business ||| sales Neutral

And we have obviously a lot of confidence that I think the investments will continue to deliver the results we expected from those investments, especially in the latter half of fiscal 2018 and beyond ||| organic_expansion Neutral Uncertain

We're working hard to reduce cost throughout that shipping while improving the speed ||| Positive

And we haven't done all the math yet, there will be some flow-through from this one-time attrition, so one portfolio, which I think, Eric, was 3% to 4% of the global company was the file we converted? So, anyway whatever that one-time loss is, we'll see some of that trickle into Q3 and Q4, that 91.5% ||| earnings Neutral Uncertain
